Hole,1,2,3,4,5,6,7,8,9,Out,10,11,12,13,14,15,16,17,18,In,Round,player_id
R2,5,4,3,3,5,4,2,5,5,36,3,4,4,4,5,3,3,5,3,34,70,1361296
R3,4,5,5,3,5,4,7,5,5,43,3,4,4,4,5,3,4,4,4,35,78,1361296
R4,4,4,4,5,6,4,3,5,4,39,4,4,4,4,6,3,3,4,5,37,76,1361296
R1,4,4,4,3,5,5,3,5,4,37,4,5,4,4,5,4,2,3,4,35,72,1364609
R2,4,4,4,3,5,3,3,4,4,34,4,4,4,4,4,3,2,4,3,32,66,1364609
R3,4,5,4,3,5,3,3,4,5,36,3,4,4,3,5,4,3,3,3,32,68,1364609
R4,4,4,4,3,5,4,2,4,4,34,3,4,3,4,4,4,3,3,4,32,66,1364609
R1,4,4,5,3,5,4,3,5,5,38,3,5,4,3,5,3,3,4,5,35,73,1380667
R2,6,6,4,5,5,4,3,5,4,42,3,4,4,4,5,4,3,4,4,35,77,1380667
R3,4,4,5,2,5,4,3,4,4,35,3,3,4,4,5,4,4,4,4,35,70,1380667
R4,4,4,4,4,4,4,3,5,4,36,3,4,4,4,4,3,4,4,4,34,70,1380667
R1,4,4,4,3,5,5,3,4,4,36,3,4,4,3,4,4,3,3,4,32,68,1382305
R2,4,5,5,2,5,4,3,5,4,37,3,4,3,3,6,3,3,4,4,33,70,1382305
R3,4,4,4,3,4,3,3,5,4,34,2,4,5,4,5,4,3,3,4,34,68,1382305
R4,5,4,3,3,5,4,3,5,4,36,3,4,4,4,5,4,3,3,4,34,70,1382305
R1,4,4,4,4,5,4,3,4,4,36,3,4,4,4,5,4,4,4,3,35,71,1383869
R2,4,5,5,3,5,4,3,4,4,37,3,4,4,4,5,3,3,4,5,35,72,1383869
R3,4,4,4,3,5,3,3,5,5,36,3,3,4,4,5,4,3,3,5,34,70,1383869
R4,4,4,4,3,5,4,4,4,4,36,3,5,5,4,5,3,3,3,4,35,71,1383869
R1,4,4,4,4,5,3,2,4,4,34,4,4,4,4,6,3,3,3,4,35,69,1390805
R2,4,4,3,3,4,3,2,3,5,31,3,4,4,4,4,4,3,4,3,33,64,1390805
R3,5,5,5,3,5,4,3,5,4,39,3,4,4,3,5,4,2,4,4,33,72,1390805
R4,3,4,5,3,4,3,4,5,4,35,3,4,5,4,3,4,3,4,4,34,69,1390805
R1,4,4,4,2,5,4,3,5,4,35,3,4,4,4,4,4,3,4,5,35,70,1390806
R2,3,4,4,2,5,2,3,4,5,32,4,3,4,3,5,3,2,3,4,31,63,1390806
R3,3,3,5,4,5,4,3,5,4,36,3,4,4,3,5,5,3,3,4,34,70,1390806
R4,4,3,5,2,4,4,3,4,3,32,3,4,5,4,5,4,4,3,4,36,68,1390806
R1,4,4,4,3,4,4,3,4,5,35,4,4,4,4,5,4,3,4,4,36,71,1393586
R2,4,4,4,4,5,3,3,5,5,37,3,4,4,3,4,3,2,4,3,30,67,1393586
R3,4,4,5,4,4,3,3,6,5,38,3,4,4,4,6,4,3,3,5,36,74,1393586
R4,5,4,4,3,6,6,3,4,4,39,3,4,3,4,5,4,4,4,4,35,74,1393586
R1,4,4,5,3,4,5,2,5,4,36,3,4,4,3,5,4,3,4,3,33,69,1414375
